Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac
Cataloochee Ski Area,North Carolina,North Carolina,5400.0,740.0,4660.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.0,18.0,2.0,1.0,50.0,50.0,141.0,58.0,North Carolina,43.0,70.0,108.0,50.0
Sapphire Valley,North Carolina,North Carolina,3450.0,200.0,3200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,34.0,1.0,1.0,8.0,8.0,53.0,55.0,North Carolina,40.0,43.0,60.0,8.0
Beech Mountain Resort,North Carolina,North Carolina,5506.0,830.0,4675.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,8.0,17.0,1.0,1.0,95.0,95.0,98.0,52.0,North Carolina,41.0,68.0,98.0,95.0
Sugar Mountain Resort,North Carolina,North Carolina,5300.0,1200.0,4100.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,8.0,21.0,1.0,1.5,125.0,125.0,114.0,50.0,North Carolina,45.0,75.0,120.0,95.0
Wolf Ridge Ski Resort,North Carolina,North Carolina,4700.0,720.0,4000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,15.0,1.0,0.6,65.0,65.0,100.0,49.0,North Carolina,42.0,65.0,100.0,60.0
Alpine Valley,Ohio,Ohio,1500.0,230.0,1260.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,5.0,11.0,1.0,0.2,72.0,72.0,105.0,53.0,Ohio,43.0,43.0,105.0,72.0
Boston Mills,Ohio,Ohio,871.0,264.0,631.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,8.0,7.0,2.0,0.3,40.0,40.0,92.0,56.0,Ohio,44.0,44.0,110.0,40.0
Brandywine,Ohio,Ohio,871.0,240.0,631.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,5.0,16.0,11.0,2.0,0.3,85.0,85.0,92.0,56.0,Ohio,44.0,44.0,110.0,85.0
Mad River Mountain,Ohio,Ohio,1460.0,300.0,1160.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,12.0,20.0,4.0,0.5,144.0,144.0,99.0,57.0,Ohio,39.0,44.0,90.0,144.0
Snow Trails,Ohio,Ohio,1475.0,301.0,1174.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,9.0,17.0,3.0,0.2,80.0,80.0,101.0,58.0,Ohio,41.0,52.0,70.0,80.0
Anthony Lakes Mountain Resort,Oregon,Oregon,8000.0,900.0,7100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,21.0,2.0,1.5,1100.0,0.0,75.0,56.0,Oregon,40.0,40.0,80.0,0.0
Cooper Spur,Mt. Hood,Oregon,4000.0,350.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,10.0,0.0,0.1,50.0,0.0,78.0,66.0,Mt. Hood,39.0,39.0,90.0,0.0
Hoodoo Ski Area,Oregon,Oregon,5703.0,1035.0,4668.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,5.0,34.0,0.0,0.4,806.0,0.0,80.0,81.0,Oregon,59.0,59.0,108.0,200.0
Mt. Ashland,Oregon,Oregon,7533.0,1150.0,6383.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,23.0,2.0,1.0,220.0,0.0,94.0,55.0,Oregon,45.0,52.0,92.0,40.0
Mt. Bachelor,Oregon,Oregon,9065.0,3365.0,5700.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,11.0,101.0,5.0,4.0,4318.0,20.0,185.0,61.0,Oregon,99.0,99.0,185.0,0.0
Mt. Hood Meadows,Mt. Hood,Oregon,7300.0,2777.0,4523.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,2.0,13.0,85.0,6.0,3.0,2150.0,0.0,118.0,51.0,Mt. Hood,57.91695652173913,64.1668100358423,160.0,170.0
Mt. Hood Skibowl,Mt. Hood,Oregon,5100.0,1500.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,9.0,65.0,2.0,3.0,960.0,29.0,125.0,82.0,Mt. Hood,70.0,70.0,144.0,317.0
Spout Springs,Oregon,Oregon,5500.0,610.0,4850.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,14.0,0.0,0.1,200.0,0.0,117.0,19.0,Oregon,57.91695652173913,64.1668100358423,125.0,100.0
Timberline Lodge,Mt. Hood,Oregon,8540.0,3690.0,6000.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.0,8.0,41.0,5.0,2.0,1415.0,0.0,305.0,82.0,Mt. Hood,57.91695652173913,64.1668100358423,305.0,300.0
Willamette Pass,Oregon,Oregon,6683.0,1563.0,5120.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,5.0,29.0,0.0,2.1,555.0,60.0,3.0,78.0,Oregon,60.0,60.0,100.0,0.0
Bear Creek Mountain Resort,Pennsylvania,Pennsylvania,1100.0,510.0,600.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,6.0,23.0,3.0,1.0,86.0,86.0,91.0,52.0,Pennsylvania,50.0,60.0,90.0,86.0
Ski Big Bear,Pennsylvania,Pennsylvania,1250.0,650.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,18.0,1.0,1.5,26.0,26.0,75.0,43.0,Pennsylvania,50.0,62.0,75.0,26.0
Big Boulder,Pennsylvania,Pennsylvania,2175.0,600.0,1700.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,8.0,16.0,8.0,1.0,55.0,55.0,76.0,72.0,Pennsylvania,50.0,65.0,95.0,55.0
Blue Knob,Pennsylvania,Pennsylvania,3146.0,1072.0,2074.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,6.0,34.0,1.0,2.0,100.0,84.0,87.0,56.0,Pennsylvania,43.0,68.0,105.0,42.0
Blue Mountain Resort,Pennsylvania,Pennsylvania,1600.0,1082.0,460.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,9.0,16.0,39.0,5.0,1.2,164.0,164.0,122.0,42.0,Pennsylvania,55.0,65.0,112.0,164.0
Camelback Mountain Resort,Pennsylvania,Pennsylvania,2100.0,800.0,1250.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,6.0,16.0,37.0,5.0,1.0,166.0,166.0,100.0,56.0,Pennsylvania,55.0,70.0,100.0,160.0
Elk Mountain Ski Resort,Pennsylvania,Pennsylvania,2693.0,1000.0,1693.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,7.0,27.0,2.0,0.7,180.0,146.0,100.0,60.0,Pennsylvania,55.0,69.0,100.0,90.0
Jack Frost,Pennsylvania,Pennsylvania,2000.0,600.0,1400.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,9.0,20.0,1.0,1.0,100.0,100.0,96.0,47.0,Pennsylvania,50.0,65.0,105.0,0.0
Liberty,Pennsylvania,Pennsylvania,1190.0,620.0,570.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,8.0,16.0,3.0,1.0,100.0,100.0,107.0,54.0,Pennsylvania,67.0,77.0,97.0,100.0
Mount Pleasant of Edinboro,Pennsylvania,Pennsylvania,1540.0,340.0,1200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,10.0,0.0,0.5,40.0,35.0,75.0,48.0,Pennsylvania,30.0,33.0,90.0,35.0
Roundtop Mountain Resort,Pennsylvania,Pennsylvania,1400.0,600.0,800.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,8.0,20.0,2.0,0.4,103.0,103.0,114.7324414715719,55.0,Pennsylvania,63.0,73.0,120.26086956521739,100.0
Seven Springs,Pennsylvania,Pennsylvania,2994.0,750.0,2240.0,0.0,0.0,2.0,0.0,3.0,5.0,0.0,4.0,14.0,33.0,7.0,1.2,285.0,285.0,99.0,87.0,Pennsylvania,67.0,87.0,115.0,200.0
Shawnee Mountain Ski Area,Pennsylvania,Pennsylvania,1350.0,700.0,650.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,10.0,23.0,2.0,1.6,125.0,125.0,100.0,44.0,Pennsylvania,55.0,65.0,122.0,120.0
Ski Sawmill,Pennsylvania,Pennsylvania,2215.0,515.0,1700.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,14.0,1.0,0.1,15.0,13.0,90.0,50.0,Pennsylvania,30.0,44.0,90.0,15.0
Montage Mountain,Pennsylvania,Pennsylvania,1960.0,1000.0,960.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,7.0,26.0,1.0,1.2,140.0,140.0,60.0,35.0,Pennsylvania,67.0,64.1668100358423,90.0,140.0
Spring Mountain Ski Area,Pennsylvania,Pennsylvania,528.0,450.0,78.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,6.0,9.0,1.0,0.2,45.0,45.0,100.0,56.0,Pennsylvania,57.91695652173913,64.1668100358423,100.0,45.0
Tussey Mountain,Pennsylvania,Pennsylvania,1750.0,520.0,1230.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,8.0,1.0,0.3,38.0,30.0,100.0,39.0,Pennsylvania,40.0,45.0,100.0,30.0
Whitetail Resort,Pennsylvania,Pennsylvania,1800.0,935.0,865.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,8.0,23.0,2.0,1.0,120.0,120.0,116.0,28.0,Pennsylvania,69.0,71.0,100.0,120.0
Yawgoo Valley,Rhode Island,Rhode Island,315.0,245.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,13.0,1.0,0.2,30.0,30.0,100.0,54.0,Rhode Island,57.91695652173913,64.1668100358423,100.0,30.0
Deer Mountain Ski Resort,South Dakota,South Dakota,6850.0,940.0,6040.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,63.0,2.0,1.6,500.0,50.0,69.0,51.0,South Dakota,45.0,45.0,81.0,0.0
Terry Peak Ski Area,South Dakota,South Dakota,7100.0,1100.0,5900.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,5.0,30.0,1.0,1.2,450.0,225.0,114.0,65.0,South Dakota,58.0,58.0,120.0,0.0
Alta Ski Area,Salt Lake City,Utah,11068.0,2538.0,8530.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,6.0,116.0,0.0,1.3,2614.0,140.0,150.0,81.0,Salt Lake City,116.0,116.0,140.0,0.0
Beaver Mountain,Utah,Utah,8600.0,1600.0,7232.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0,48.0,2.0,0.8,464.0,0.0,120.0,81.0,Utah,50.0,50.0,120.0,0.0
Brian Head Resort,Utah,Utah,10970.0,1548.0,9600.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,8.0,71.0,2.0,0.6,650.0,216.0,149.0,54.0,Utah,42.0,59.0,148.0,0.0
Brighton Resort,Salt Lake City,Utah,10500.0,1745.0,8755.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,7.0,66.0,4.0,1.2,1050.0,200.0,138.0,83.0,Salt Lake City,85.0,85.0,138.0,200.0
Deer Valley Resort,Salt Lake City,Utah,9570.0,3000.0,6570.0,1.0,0.0,0.0,13.0,0.0,5.0,2.0,0.0,21.0,103.0,0.0,2.8,2026.0,660.0,114.7324414715719,39.0,Salt Lake City,169.0,169.0,120.26086956521739,0.0
Eagle Point,Utah,Utah,10600.0,1500.0,9100.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,40.0,1.0,0.9,650.0,0.0,109.0,9.0,Utah,45.0,60.0,109.0,0.0
Park City,Salt Lake City,Utah,10000.0,3200.0,6800.0,4.0,0.0,6.0,10.0,4.0,7.0,4.0,6.0,41.0,341.0,8.0,3.5,7300.0,750.0,142.0,56.0,Salt Lake City,57.91695652173913,64.1668100358423,143.0,0.0
Powder Mountain,Utah,Utah,9422.0,2522.0,6900.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,3.0,9.0,167.0,2.0,3.5,8464.0,0.0,120.0,47.0,Utah,88.0,88.0,146.0,300.0
Snowbasin,Utah,Utah,9350.0,2900.0,6450.0,3.0,0.0,1.0,2.0,0.0,3.0,0.0,2.0,11.0,107.0,4.0,3.5,3000.0,625.0,143.0,79.0,Utah,115.0,115.0,138.0,0.0
